comment,sentiment
"Fitur Terbaik: bagus bgt. Sepadan dengan Harga: sepadan. Alhamdulillah barang sudah diterima dan sampai dengan aman. Packing aman rapi, pengiriman cepat, barang bagus bgt pliss, asli ga boong recommended pokoknya, harga murah kualitas bagus bgt, gausah bingung yg mau cek out segera, dijamin bagus bgt terimakasih semoga barang nya awet, berkah selalu seller 🙏🙏🙏",positif
"Fitur Terbaik: anti lengket, dan cepat panas. Sepadan dengan Harga: sangat sepadan. Direkomendasikan untuk dibeli untuk anak kost, bahan bagus tidak lengket.",positif
"Sepadan dengan Harga: sesuai sama harga, bagus banget. Fitur Terbaik: harga murah tapi berkualitas. Barangnya bagus banget, harganya juga murah kemaren checkout pas flash sale jadi murah, pengiriman cepat ga nyampe 3 hari, admin fast respon dan ramah banget, colokan panci diujung gagang jadi kalo pas nyuci ga kena air, pokoknya ⭐⭐⭐⭐⭐.",positif
"Sepadan dengan Harga: Sepadan. Fitur Terbaik: Bisa untuk pemanas makanan. Panci listriknya berjalan bagus, semua lancar, pengiriman cepat, hanya sedikit penyok. Alhmdulillah bisa di betulin sendiri Dan Masih bisa di pakai. Kelihatannya kebentur barang lain selama proses pengiriman. Terimakasih.",positif
"Fitur Terbaik: Bahannya Lumayan Ringan dgn warna yang bagus. Sepadan dengan Harga: harganya sesuai. Belum sempat dicoba,, semoga barangnya awet dan tidak cepet rusak,, ini pertama kali mau coba masak pakai panci listrik.. terima kasih.",positif
Sepadan dengan Harga: alhamdulillah sepadan dengan uang. Fitur Terbaik: alhamdulillah bekerja dengan baik. Alhamdulillah udh sampai dan berfungsi dengan baik aku udh coba masak air dan mie oke matang dengan sempurna 😍😍.,positif
Fitur Terbaik: bagus. Sepadan dengan Harga: barang. Produk berfungsi dengan baik. Produk bagus. Packing aman & rapi. Thank you GM Bear,positif
"Sepadan dengan Harga: Kualitas bagus. Fitur Terbaik: Belum coba. Worth it untuk harga segitu, tapi belum coba apakah bakal tahan lama atau tidak. Dilihat dari review yang lain pada tahan lama, jadi semoga ini juga tahan lama sama saya.",positif
"Fitur Terbaik: bagus. Sepadan dengan Harga: baik. Bekerja dengan baik, tapi ada penyok di badan bawah panci, tapi itu tidak mempengaruhi kinerja.",positif
Fitur Terbaik: baikkk. Sepadan dengan Harga: pas bgt ma harga. Bagus bagus semoga awet sebagai anak kost yg dapur umum ya terbantu klo mager masak diluar love you muach.,positif
"Fitur Terbaik: bagus. Sepadan dengan Harga: sepadaan. Multi fungsi, cepat panas, semoga awet.",positif
"Sepadan dengan Harga: sepadan. Yeyyy udah sampai, cepat banget sumpah, harganya juga worth it, cocok banget buat anak kost, belum dicoba, semoga aja awet, thanks seller.",positif
"Fitur Terbaik: bagus, Sepadan dengan Harga: sepadaan, Multi fungsi, cepat panas, semoga awet",positif
"Sepadan dengan Harga: sepadan, Yeyyy udah sampai, cepat banget sumpah, harganya juga worth it, cocok banget buat anak koss, belum dicoba, semoga aja awet, thanks seller",positif
"Sepadan dengan Harga: kualitas baik sangat sesuai, Fitur Terbaik: baik, Kualitas baik sesuai dengan yang di foto, packing rapih aman, panci berfungsi baik",positif
"Saya sungguh senang dengan pembelian ini! Barangnya tiba dalam kondisi sempurna, dan pengiriman cukup cepat. Sungguh suatu kebahagiaan bagi saya.",positif
Panci listrik ini sangat buruk. Saya baru saja mencobanya dan itu tidak berfungsi sama sekali. Saya sangat kecewa dengan pembelian ini.,negatif
Barang yang diterima rusak. Terdapat penyok yang cukup besar pada bagian bawah panci listrik. Pengemasan juga buruk.,negatif
"Pengiriman sangat lambat. Saya harus menunggu terlalu lama untuk menerima barang ini, dan ketika itu tiba, itu rusak.",negatif
"Kualitas produk sangat rendah. Panci ini cepat panas, tetapi tidak bertahan lama. Saya merasa seperti saya telah membayar terlalu banyak.",negatif
"Penjual tidak ramah dan tidak responsif. Saya mencoba menghubunginya mengenai barang yang rusak, tetapi tidak mendapatkan tanggapan.",negatif
Fitur panci listrik ini sangat buruk. Ini tidak menghangatkan makanan dengan baik dan seringkali melekat. Saya sangat kecewa.,negatif
Harga terlalu mahal untuk kualitas ini. Saya tidak merekomendasikan produk ini. Saya merasa seperti saya telah ditipu.,negatif
Pengiriman sangat lambat dan respon penjual buruk. Saya tidak puas dengan pengalaman berbelanja ini.,negatif
Produk ini sangat buruk. Saya mencobanya dan barang tidak berfungsi sama sekali. Saya merasa seperti saya telah membuang uang.,negatif
Packing sangat buruk dan barang rusak saat sampai. Penjual tidak membantu dalam menyelesaikan masalah ini.,negatif
Kualitas produk sangat rendah. Saya merasa seperti saya telah membuang uang untuk barang ini. Tidak direkomendasikan.,negatif
Panci ini sangat buruk. Bahan pembuatannya tidak berkualitas dan mudah rusak. Saya sangat kecewa dengan produk ini.,negatif
Pengiriman sangat lambat dan tidak sesuai dengan yang diharapkan. Barang yang diterima dalam kondisi buruk. Saya merasa sangat kecewa.,negatif
"Respon penjual buruk. Saya mencoba menghubunginya mengenai masalah barang yang rusak, tetapi tidak mendapatkan jawaban yang memuaskan.",negatif
Saya merasa tertipu dengan harga produk ini. Tidak sepadan dengan kualitas yang sangat rendah. Saya tidak merekomendasikan produk ini.,negatif
Barang ini sangat buruk. Saya sangat kecewa dengan pembelian ini. Pengiriman lambat dan barang rusak saat sampai.,negatif
"Barang sudah sampai, isi lengkap sudah sesuai dengan deskripsi, tidak ada kendala. Dan tdk ad salahnya kasih bintang 5 utk seller dan jasa pengirimannya yg sdh handle with care. Kualitas barang tergantung merk sih mnurut gw",positif
Tampilan: bagus Performa: elegan Kualitas: baik Alhamdulillah pesenankuh sudah sampai . Suka banget belanja disini karna udah langganan juga jadi pasti bagus ❤️💐😘🤗👍. Dapet voucher belanja pun 😀 Makasih shopee dan GM bear 👍,positif
"Harga: hemat Bahan/Material: plastik Kegunaan: memasak Bahan nya bagus, produk nya sesuai, produk original, barang tidak mengecewakan",positif
Harga: terjangkau Bahan/Material: baik Kegunaan: banyak Terima kasih banyak ya pesanannya sudah diterima dengan baik packing nya rapih Alhamdulillah akhirnya baik pengiriman cepat barangnya sesuai dengan gambar tidak ada yang cacat dapatnya banyak banget Lila nih bisa buat lebaran yang sangat membantu ini berapa ini hanya ada yang bermacam-macam .. ok,positif
Harga: bersahabat Bahan/Material: plastik Kegunaan: perlengkapan dapur Barang sampe sesuai pesanan hanya saja aku ga baca bahan material nya ternyata plastik .. Tapi its oke gpp sesuai harga next time aku pngn order yg stenlis / bahan lain yg bisa buat di pake masak,positif
"Harga: murah Bahan/Material: lumayan Kegunaan: belum dicoba Semoga awet, udah beli produk GM bear 3x hasilnya gak mengecewakan Baru pesen kemarin, hari ini udah nyampek..",positif
Harga: murah banget Bahan/Material: plastik tahan panas Kegunaan: memasak Pengemasan agak lama sih Tapi barang bagus kok Harga murah Barang original 1 ser dapat 6,positif
"Tampilan: bagus Performa: belum di coba Kualitas: semoga sih awet yaa heheh Kedua kali beli disini. Selisih 1 hari doang si pesen nya😁 admin ramah, baik juga ngabarin pesanan proses kirim. Spatula set 6pcs elegant. Mayan buat hadiah ibu kosan spesial hari ibu.",positif
"Harga: ok Bahan/Material: lumayan sesuai harganya Kegunaan: memasak Alhamdulillah barang bagus sesuai dg harga,muda2 n g cepet patah d meleleh saay digunkan",positif
Harga: murah Bahan/Material: bagus Kegunaan: aman Bahan nya bagus bngt kurirnya ramah,positif
"Tampilan: baik Performa: belum smpt d coba Kualitas: blm coba tp klihatan nya baik Bth alat2 masak eh tau nya ada dsni produknya lg promo, alat2 nya bahan nya tebal, model nya bgs, klihatan sgt baik n cocok utk alat masak yg teflon, pengiriman,agk lama smp sekitar 6 har, packing bgs pke dus tp ga pke bubble wrap cm plastik,tp aman, seller veey recomended, kurir sgt ramah 🙏🏻🙏🏻☺👍🏻",positif
Harga: murah Bahan/Material: bagus Kegunaan: memasak Pake GM gear spatula membuat pengalaman memasak jd lebih simple,positif
Harga: Alhamdulillaah terjangkau Bahan/Material: oke Kegunaan: masaaak memasaakkk biar lebih mudah Alhamdulillaah barang oke harga terjangkau masak jadi lebih mudah. makasiihh yaaaa,positif
"Tampilan: sesuai Performa: bagus Kualitas: bagus(semoga awet ya) sesungguhnya saya takut kl dipake masak jadi blonyokk ky punya temen saya tapi belinya ga ditoko ini, yaa semga toko ini baguslah yaa bisa rekomendasi buat anak kost juga ky saya",positif
"Harga: terjankau Bahan/Material: plastik Kegunaan:  belum dicoba Spatula plastik isi 6 baik dan sesuai harga.packing baik dan rapi.respon penjual baik.pengiriman paket pesanan cepat.tetap semangat,jaga kesehatan dan sukses selalu,gan.tetap semangat,jaga kesehatan dan sukses selalu,gan.terima kasih,gan",positif
"Suka bangettt dngn produknya, dngn hrga terjangkau sdh bisa menambah perabotan dapur mama 😁😁 Pengiriman juga cepat, Luuvvvvv dehhh pkkny ❤️❤️",positif
"Harga: mahal Bahan/Material: buruk Kegunaan: tidak sesuai Barangnya rusak, harga terlalu mahal, tidak sesuai dengan deskripsi.",negatif
"Tampilan: jelek Performa: buruk Kualitas: sangat buruk Saya sangat kecewa dengan produk ini. Tampilannya jelek, kualitas buruk, dan performanya sangat buruk.",negatif
"Harga: tidak terjangkau Bahan/Material: plastik murahan Kegunaan: tidak berguna Ini adalah pemborosan uang. Harganya tidak terjangkau, bahan plastik murahan, dan tidak ada gunanya.",negatif
Harga: terlalu tinggi Bahan/Material: sangat buruk Kegunaan: tidak berguna Saya merasa seperti ditipu. Harganya terlalu tinggi untuk kualitas yang sangat buruk. Barangnya tidak berguna.,negatif
"Tampilan: tidak sesuai Performa: buruk Kualitas: sangat buruk Produk ini sangat mengecewakan. Tampilannya tidak sesuai dengan deskripsi, performanya buruk, dan kualitasnya sangat buruk.",negatif
Harga: tidak wajar Bahan/Material: plastik murahan Kegunaan: tidak berguna Saya merasa sangat kecewa dengan pembelian ini. Harganya tidak wajar untuk produk dengan bahan plastik murahan yang tidak berguna.,negatif
"Tampilan: jelek Performa: sangat buruk Kualitas: buruk Saya menyesal membeli produk ini. Tampilannya jelek, performanya sangat buruk, dan kualitasnya buruk.",negatif
Harga: terlalu mahal Bahan/Material: buruk Kegunaan: tidak berguna Saya tidak merekomendasikan produk ini. Harganya terlalu mahal untuk bahan yang buruk dan tidak ada gunanya.,negatif
"Harga: tidak sesuai Bahan/Material: sangat buruk Kegunaan: sangat terbatas Saya merasa tertipu. Harganya tidak sesuai dengan kualitas yang sangat buruk, dan penggunaannya sangat terbatas.",negatif
"Tampilan: mengecewakan Performa: buruk Kualitas: sangat buruk Produk ini adalah buang-buang uang. Tampilannya mengecewakan, performanya buruk, dan kualitasnya sangat buruk.",negatif
Harga: tidak masuk akal Bahan/Material: murahan Kegunaan: tidak berguna Saya sangat kecewa. Harganya tidak masuk akal untuk produk dengan bahan murahan yang tidak berguna.,negatif
"Tampilan: sangat jelek Performa: sangat buruk Kualitas: buruk Produk ini adalah salah satu yang terburuk yang pernah saya beli. Tampilannya sangat jelek, performanya sangat buruk, dan kualitasnya buruk.",negatif
Harga: terlalu tinggi Bahan/Material: sangat buruk Kegunaan: tidak sesuai Saya merasa seperti dibohongi. Harganya terlalu tinggi untuk kualitas yang sangat buruk. Produk ini tidak sesuai dengan deskripsi.,negatif
Harga: tidak masuk akal Bahan/Material: plastik murahan Kegunaan: tidak berguna Saya sangat menyesal membeli produk ini. Harganya tidak masuk akal untuk bahan plastik murahan yang tidak berguna.,negatif
"Tampilan: sangat mengecewakan Performa: sangat buruk Kualitas: buruk Produk ini adalah bencana. Tampilannya sangat mengecewakan, performanya sangat buruk, dan kualitasnya buruk.",negatif
Harga: terlalu tinggi Bahan/Material: sangat buruk Kegunaan: tidak berguna Saya tidak merekomendasikan produk ini. Harganya terlalu tinggi untuk bahan yang sangat buruk dan tidak ada gunanya.,negatif
"Alhamdulillaah pesanan sudah nyampek dg sangat amanah tanpa kurang sedikitpun, tokonya benar"" amanah, pokoknya sangat puas belanja disini, terimakasih shopee, toko, agen shopee semoga tambah amanah barokah Aamiin...",positif
"Pesanan telah sampai sesuai pesanan, pengiriman cukup cepat Kualitas original Terimakasih",positif
Alhamdulillah teplon nya udh nyampe kk.. bagus bnget..mungil. Cocok untuk ceplok telor..goreng sosis / naget...dapet hrga murce..☺️☺️👍👍 Toko nya amanah....responnya cepat..👍👍 Terimakasih seller..🙏🙏,positif
"Semoga awet, udah beli produk GM bear 3x hasilnya gak mengecewakan Baru pesen kemarin, hari ini udah nyampek..",positif
Top dah mantul (mantap betul) ok,positif
"Lucu kecil banget kaya mainan hahahahahah tp bagus imut gituuu, lumayan buat dadar telor mana lagi harga promo lagiii. Semoga awet yaaaaaa. Terimaksihhhhhhh",positif
"barang bagus, bahan bagus ringan sekali tapi. sesuai harga, lumayan untuk ceplok telor. semoga tidak lengket. thank youu",positif
Sumpahh.. ini imut banget. Comel😂🤣🤣. Cocoklah untuk bkin fried egg🍳,positif
"Udah kedua kalinya beli produk GM Bear disini bener bener memuaskan , bahannya tebel dan kualitas nya sangat sangat bagus next bakalan order yang kesekian kalinya lagi",positif
"Sesuai ekspektasi. Memang butuhnya yg sekecil ini aja buat bikin roti bakar sama telur cukup lah. Thanks,gan",positif
"Belum di coba barangnya tapi mdh2an bagus ya, pengiriman cepet banget , pesen kemarin , Sekarang dah dateng",positif
Sesuai picture n deskripsi thank you,positif
"Alhamdulillah barang sudah sampai di rumah, udah aku pake teplonnya",positif
Teflonnya kecil imut barang nyampai dengan selamat gak ada yang cacat sedikit pun harga sangat terjangkau pengiriman cepat terima kasih,positif
"Pengiriman cepat, barang ngak ada yang rusak, harga juga murah, makasih seller",positif
"Harga: murah Bahan/Material: lumayan Pengemasan: bagus, pakai kerdus Pengiriman cepat, barang ngak ada yang rusak, harga juga murah, makasih seler",positif
"Barang rusak saat tiba, sangat kecewa.",negatif
"Kualitas produk sangat buruk, tidak sesuai dengan deskripsi.",negatif
"Pengiriman sangat lambat, butuh waktu berhari-hari untuk sampai.",negatif
Harga terlalu mahal untuk kualitas yang buruk.,negatif
"Pengemasan sangat buruk, barang tiba dalam keadaan rusak.",negatif
Tidak ada respon dari penjual terkait keluhan pelanggan.,negatif
Produk tidak sesuai dengan gambar yang ditampilkan.,negatif
"Pelayanan pelanggan sangat buruk, sulit untuk menghubungi penjual.",negatif
"Pengiriman terlalu lama, tidak sesuai dengan yang dijanjikan.",negatif
Barang tidak awet dan cepat rusak.,negatif
Penjual tidak jujur tentang kondisi produk.,negatif
Harga tidak sebanding dengan kualitas produk.,negatif
"Pengiriman tidak aman, barang tiba dalam keadaan rusak.",negatif
"Pelayanan pelanggan sangat buruk, tidak ada tanggapan dari penjual.",negatif
"Produk palsu, bukan produk asli seperti yang diiklankan.",negatif
Tidak ada tanggapan atau respon dari penjual terhadap keluhan pelanggan.,negatif
"kotak sampai dalam keadaan sangat bagus dan tidak penyok, barang lengkap tidak ada yang lecet dan kurang sama sekali.. panci juga cepat panas ketika dinyalakan, cocok buat anak kost yang buru2 ke kantor atau ke kampus.. bagian dalam tidak lengket ketika dipakai memasak.. thank you seller!!! ☀☀☀🌻🌻",positif
"Fitur Terbaik: ada opsi level panasnya Sepadan dengan Harga: sepadan banget!! ini di saranin sama temen aku untuk beli karena bentar lagi mau mulai nge kos, pas nyampe iseng dulu manasin air eh ternyata rebusnya gak gitu lama. udah gitu pancinya ringan dan gak gitu gede, cukup buat porsi makan seorang/dua. nanti mau debut masak mie pakai ini, tapi udah gak ragu sih pasti bakal lancar masaknya",positif
Fitur Terbaik: bagus Sepadan dengan Harga: iya Barang nya bagus realpice pengiriman nya juga cepat respon penjualan nya sangat bagus rekomendasi sih buat anak kosan,positif
"Fitur Terbaik: kualitas dasar panci yang tidak mudah mengelupas Sepadan dengan Harga: kualitasnya bagus Terimakasih seller, alhamdulilah barang sampai dengan aman, pengiriman cepat, kualitas panci bagus dan sesuai harga, susah coba dipakai dan berjalan dengan baik 👍",positif
"Pengiriman cepat, nggak expect bakal secepet ini. Udah dites sekilas dan bisa nyala. Bagian tengahnya juga udah mulai terasa hangat padahal cuma dinyalain beberapa detik doang. Makasih, Seller.",positif
"_ini si bagus banget dengan harga yg ok, gak terlalu berat, cantik warna nya, panas nya juga cepet,. Packing rapih, cepat sampai, dus gak ada yg penyok, pancinya aman, gak ada yg lecet,. Makasih seller, sukses selalu,.👍🏻👍🏻🥰",positif
"Fitur Terbaik: cepat panas Sepadan dengan Harga: yes Cepet sampe, kualitas bagus, mudah dibersihkan, mudah digunakan. Ringan dan minimalis sekali. Kecil tp bukan yg kecil bgt. Cukup buat mie seukuran shin ramyun (cukup gede lho). Trus sejauh ini aku baru coba buat rebus aja sih. Soon bakal coba fungsi menggorengnya juga. Recommended sih. Cepet bgt panasnya.",positif
"Fitur Terbaik: panci listrik serbaguna. Akhirnya udah datang barangnya. Packing aman pakai bubble wrap dan ada kardus (ga penyok sama sekali). Pas dibuka warnanya lebih ke hijau toska tp yg muda, gemeshhh bgt. Barang berfungsi dengan baik ketika di coba ke listrik dan ada tombol on off ya kok. Pokoknya cocok bgt utk anak kos yg gamau ribet kyk aku. Hahah. Thank you sellerrr♥️♥️♥️",positif
Alhamdulillah bagussss 😍 memuaskan🤩 pengirim nya cpt ku kira bakal lamaa😭😭😭 Packing aman👍🏻 kardusnya jg tebel👍🏻 pengemasan cpt 👍🏻😭 pengiriman cpt👍🏻 kualitas baguss udh aq coba buat masak air lumayan bgt buat anak kos👍🏻 Thanks seller 🥰,positif
Fitur Terbaik: ok lah Sepadan dengan Harga: utk harga segitu menurut ku wort it si Realpick model nya juga bagus walaupun pas mau pesan penuh dgn drama karena takut gagal lagi tapi pke produk yang ini bner² serbaguna bgt Thankyu:),positif
"Fitur Terbaik: baik Sepadan dengan Harga: harga murce Pancinya sangat bagus, worth it si ini. Cocok buat anak kos kalau pngen masak. Bagus banget pokoknya, terimakasih seller",positif
