sentiment,comment
positif,"Fitur Terbaik: barang original... flashdisk Sandisk 64GB Sepadan dengan Harga: sesuai harga... terimakasih Respon penjual cepat, barang langsung di kirim, barang kondisi baik saat di terima.. semoga awet..."
positif,"Fitur Terbaik: terbaik Sepadan dengan Harga: bagus Alhamdulillah barang sudah sampai dengan baik... semoga berfungsi dengan baik... toko amanah, pengiriman cepat... kurir ramah"
positif,"Fitur Terbaik: bagus Sepadan dengan Harga: baik Pengiriman cepat... toko amanah sekali... terima kasih seller, overall good"
positif,"Fitur Terbaik: memindahkan data Sepadan dengan Harga: ya Barang original, pengiriman instan (1 jam), packaging aman"
positif,Fitur Terbaik: bagus Sepadan dengan Harga: terbaik Barang sudah sampai dengan aman... sudah beli beberapa kali selalu memuaskan... toko amanah... pengiriman cepat kurir ramah... terima kasih seller...
positif,Fitur Terbaik: bagus Sepadan dengan Harga: kualitas Barang sampai dengan baik... pengiriman cepat kurir ramah.. toko amanah... semoga semakin laris
positif,"Fitur Terbaik: terbaik, Sepadan dengan Harga: sesuai harga recommended, barang sampai dengan aman... sesuai pesanan semoga awet... terimakasih seller.. pengiriman cepat kurir ramah"
positif,"Fitur Terbaik: 👍, Sepadan dengan Harga: lebih dari sepadan sih menurutku, karna harganya lebih murah dari toko-toko lainnya, Pengiriman cepat, paket mendarat dengan selamat. Thank's seller! 🙏"
positif,"Fitur Terbaik: ⭐⭐⭐⭐⭐, Sepadan dengan Harga: ⭐⭐⭐⭐⭐, Packing aman, bublewrap double², ada nota pembelian yang jelas"
positif,"Fitur Terbaik: original Sandisk, Sepadan dengan Harga: worth it, Respon seller cepat & ramah, pengiriman juga cepat & aman, barang original sesuai dengan spek. Sangat recommended 👍"
positif,"Sepadan dengan Harga: sepadan, Fitur Terbaik: baik, Oke lah. Rekomendasi untuk tokonya."
positif,"Fitur Terbaik: Ori, Sepadan dengan Harga: iya, Alhamdulillah, barang original dan sampai dengan selamat."
negatif,Saya sangat kecewa dengan produk ini. Kualitasnya sangat buruk dan tidak sesuai dengan harapan saya.
negatif,Harga yang saya bayar terlalu mahal untuk produk ini. Saya merasa seperti saya tidak mendapatkan nilai yang sepadan.
negatif,Paket barang tiba terlambat dan dalam kondisi yang buruk. Saya merasa sangat frustrasi dengan pengalaman ini.
negatif,Produk ini sangat mengecewakan. Saya tidak akan merekomendasikannya kepada siapa pun.
negatif,Saya merasa bahwa saya salah membeli produk ini. Kualitasnya sangat rendah dan tidak sesuai dengan deskripsi.
negatif,Pelayanan pelanggan sangat buruk. Saya merasa tidak dihargai sebagai pelanggan.
negatif,Barang ini rusak saat tiba dan penjual tidak merespons keluhan saya. Pengalaman yang sangat buruk.
negatif,Sangat kecewa dengan fitur produk ini. Tidak seperti yang diiklankan dan tidak berfungsi dengan baik.
negatif,Paket tiba terlambat dan dalam kondisi yang buruk. Saya merasa seperti saya membuang uang saya.
negatif,Produk ini sangat mengecewakan. Tidak sepadan dengan harga yang saya bayar.
negatif,Saya merasa bahwa saya salah membeli produk ini. Kualitasnya sangat rendah dan tidak sesuai dengan deskripsi.
negatif,Pelayanan pelanggan sangat buruk. Saya merasa tidak dihargai sebagai pelanggan.
negatif,Barang ini rusak saat tiba dan penjual tidak merespons keluhan saya. Pengalaman yang sangat buruk.
negatif,Sangat kecewa dengan fitur produk ini. Tidak seperti yang diiklankan dan tidak berfungsi dengan baik.
negatif,Paket tiba terlambat dan dalam kondisi yang buruk. Saya merasa seperti saya membuang uang saya.
negatif,Harga yang saya bayar terlalu mahal untuk produk ini. Saya merasa seperti saya tidak mendapatkan nilai yang sepadan.
negatif,Produk ini sangat mengecewakan. Saya tidak akan merekomendasikannya kepada siapa pun.
negatif,Saya sangat kecewa dengan produk ini. Kualitasnya sangat buruk dan tidak sesuai dengan harapan saya.

positif,Fitur Terbaik: tahan utk cctv Sepadan dengan Harga: ada mutu ada harga Untuk dipake di cctv. Mudah2an awet.
positif,Barangnya original pengiriman nya juga okee respon penjualannya okee banget
positif,Semoga awet. Makasih buat seller. Bagus lumayan lah dipake
positif,"Unit: ⭐⭐⭐⭐⭐ Superb + minimum 20FpS (FHD auto)  + R/W identik dengan datasheet + Garansi 10TAHUN <-- BACA BAIK2  PACKING: ⭐⭐⭐⭐ Good  Bagai mana bisa jd mitra/staf MERK ini jika tidak tau product knowledge?? Superb brand but...  I DONT CARE YOUR BONUS, I NEED TRUE INFORMATION & SUPERB AFTER SALE."
positif,"Fitur Terbaik: barang bagus mudah mudahan ori dan awet, soalnya micro sd dan adapter berbeda made in Sepadan dengan Harga: nya lumayan mahal."
positif,Good. Barang tiba dengan baik dan aman. Semoga baik micro sd dan ip camera efektif banget untuk security d rumah. Thanks ya Sandisk. Banyak2in update voucher atau promo bunding sperti ini atau malah + diskon. Siapatau taken lagi nih
positif,Sepadan dengan Harga: good Berfungsi dg baik....
positif,Barang sesuai & Pengirimannya cepat👍
