id,name,category,description,price,countInStock,brand,rating,weight,slug_product
1,Chino Pants Erigo,1,"Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. hari. Memiliki live-button, resleting, belt loop, dan 4 saku simpel pada bagian pinggul.",129000,3000,Erigo,5.0,1,chino-pants-erigo
2,Erigo Coach Jacket Fujinkai Black Unisex,1,"Coach Jacket Erigo saat ini Mengeluarkan Design terbaru, Coach Jaket Erigo merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia",155000,3000,Erigo,5.0,1,erigo-coach-jacket-fujinkai-black-unisex
3,Erigo T-Shirt Kuina Navy Unisex,1,T-Shirt Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Dibuat dengan bahan cotton yang nyaman untuk menemani harimu dan memiliki print desain yang unik,250000,3000,Erigo,5.0,1,erigo-t-shirt-kuina-navy-unisex
4,Erigo Chino Pants Beryl Emerald Unisex,1,Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Chino Pants are undoubtedly an,149000,3000,Erigo,5.0,1,erigo-chino-pants-beryl-emerald-unisex
5,Erigo Jogger Pants Jessie Black,1,Deskripsi produk 5,149000,3000,Erigo,5.0,1,erigo-jogger-pants-jessie-black
6,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,2,Deskripsi produk 6,14900,3000,Robot,5.0,1,robot-mousepad-anti-slip-rp05-gaming-polos-hitam-murah-rubber-original
7,Mouse Wireless ROBOT M205 2.4G 1600DPI,2,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,89900,3000,Robot,5.0,1,mouse-wireless-robot-m205-24g-1600dpi
8,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100,2,Deskripsi produk 8,151900,3000,Robot,5.0,1,robot-portable-mini-wireless-set-combo-keyboard-and-mouse-km3100
9,Robot TWS Wireless Earphone Airbuds T30,2,Deskripsi produk 9,134900,3000,Robot,5.0,1,robot-tws-wireless-earphone-airbuds-t30
10,ROBOT Stand Holder Laptop Portable,2,Deskripsi produk 10,45900,3000,Robot,5.0,1,robot-stand-holder-laptop-portable
11,SanDisk CZ50 Cruzer Blade USB 2.0 - 8 GB,2,"Design yang kecil memudahkan koneksi ke perangkat USB apa saja. Meskipun berukuran kecil, SanDisk Cruzer Blade ini mempunyai kapasitas yang cukup untuk menyimpan data-data anda. Didukung aplikasi SanDisk SecureAccess",38500,3000,Sandisk,5.0,1,sandisk-cz50-cruzer-blade-usb-20-8-gb
12,SanDisk Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,2,SanDisk Max Endurance 128GB 100MB/s MicroSDXC,541500,3000,Sandisk,5.0,1,sandisk-max-endurance-128gb-100mbs-microsdxc-4k-ultra-hd
13,SanDisk SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,2,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,541500,3000,Sandisk,5.0,1,sandisk-ssd-plus-solid-240gb-speed-upto-530mbs
14,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,2,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,124500,3000,Sandisk,5.0,1,sandisk-flashdisk-128gb-usb-flash-128gb-sandisk-blade-cz50-128gb
15,Sandisk Ultra Micro SDXC UHS 128 GB,2,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,178000,3000,Sandisk,5.0,1,sandisk-ultra-micro-sdxc-uhs-128-gb
16,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),2,"MS30 is a M.2 (NGFF, Next Generation Form Factor) high-speed solid-state drive of the latest generation. It has the latest SATA III 6Gb/s",3020000,3000,Team-group,5.0,1,teamgroup-ssd-m2-sata-2280-ms30-2tb-2000gb
17,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,2,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,285000,3000,Team-group,5.0,1,teamgroup-ssd-25-cx2-series-256gb-sata3
18,TEAMGROUP SSD 2.5 GX2 128GB Grey,2,TEAMGROUP SSD 2.5 GX2 128GB Grey,220000,3000,Team-group,5.0,1,teamgroup-ssd-25-gx2-128gb-grey
19,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,2,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,240000,3000,Team-group,5.0,1,teamgroup-elite-plus-memory-ddr4-4gb-pc-2666mhz-21300-black
20,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),2,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),297000,3000,Team-group,5.0,1,teamgroup-ssd-team-mp33-256gb-m2-nvme-1800mbs
21,GM Bear Panci Listrik Fry Pan Electric (2in1),3,"GM Bear Panci Listrik Serbaguna hanya dengan satu alat, masak jadi gampang banget! Mengukus, merebus, memasak mie, membuat hot pot bersama keluarga hingga memanaskan makanan jadi gampang banget loh!",99000,3000,Gm,5.0,1,gm-bear-panci-listrik-fry-pan-electric-2in1
22,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,3,"Spatula adalah salah satu alat masak wajib yang harus dimiliki setiap dapur. Namun, untuk memaksimalkan proses memasak, dibutuhkan berbagai jenis spatula. Menghadirkan satu set peralatan masak spatula lengkap yang memiliki fungsi lengkap sehingga",26010,3000,Gm,5.0,1,gm-bear-spatula-set-isi-6psc-1073-utensil-spatula-sutil-set
23,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,3,"Solusi praktis memasak untuk kamu yang tinggal sendiri atau ngekost maupun suka memasak porsi kecil. Simple, ringan dan mudah dibersihkan.",34900,3000,Gm,5.0,1,gm-bear-wajan-16cm-1072-fry-pan-penggorengan-mini
24,GM Bear Organizer Rak Multifungsi P0177,3,Organizer meja serta lemari serbaguna yang di design untuk menciptakan kerapihan dan memudahkan pengguna dalam mengambil pakaian hingga barang-barang lain,124500,3000,Gm,5.0,1,gm-bear-organizer-rak-multifungsi-p0177
