id,name,image_product,category,description,price,countInStock,brand,weight,rating
1,Chino Pants Erigo,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Chino_Pants_Erigo_o6qjcw,fashion,"Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. hari. Memiliki live-button, resleting, belt loop, dan 4 saku simpel pada bagian pinggul.",129000,3900,Erigo,1,4
2,Erigo Coach Jacket Fujinkai Black Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Coach_Jacket_Fujinkai_Black_Unisex_n4mdiy,fashion,"Coach Jacket Erigo saat ini Mengeluarkan Design terbaru, Coach Jaket Erigo merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia",155000,260,Erigo,1,5
3,Erigo T-Shirt Kuina Navy Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_T-Shirt_Kuina_Navy_Unisex_dwqz9d,fashion,T-Shirt Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Dibuat dengan bahan cotton yang nyaman untuk menemani harimu dan memiliki print desain yang unik,250000,12,Erigo,1,4
4,Erigo Chino Pants Beryl Emerald Unisex,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Chino_Pants_Beryl_Emerald_Unisex_xylsfx,fashion,Chino Pants Erigo saat ini merupakan salah satu lini pakaian terbaik dan berkualitas tinggi di antara Local Brand Indonesia. Chino Pants are undoubtedly an,149000,100,Erigo,1,4
5,Erigo Jogger Pants Jessie Black,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Erigo_Jogger_Pants_Jessie_Black_nocrzt,fashion,Deskripsi produk 5,149000,300,Erigo,1,5
6,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_-_Mousepad_Anti_Slip_RP05_Gaming_Polos_Hitam_Murah_Rubber_Original_xf8dfx,komputer-dan-aksesoris,Deskripsi produk 6,14900,150,Robot,1,5
7,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Mouse_Wireless_ROBOT_M205_2.4G_1600DPI_Receiver_USB_untuk_PC_Laptop-Garansi_Resmi_1_Tahun_w71cuh,komputer-dan-aksesoris,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,89900,10,Robot,1,4
8,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Portable_Mini_Wireless_Set_Combo_Keyboard_and_Mouse_KM3100_Original_Garansi_1_Tahun_igbz2o,komputer-dan-aksesoris,Deskripsi produk 8,151900,122,Robot,1,4
9,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/Robot_TWS_Wireless_Earphone_Airbuds_T30_PLUS_Original_BT_5.3_Original_Garansi_1_Tahun_zkyz0f,komputer-dan-aksesoris,Deskripsi produk 9,134900,8,Robot,1,5
10,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,https://res.cloudinary.com/dv3100rvl/image/upload/v1/media/images/ROBOT_Stand_Holder_Laptop_Portable_Lipat_l_qtaxxk,komputer-dan-aksesoris,Deskripsi produk 10,45900,7,Robot,1,4
