comment,sentiment
"Bagus sekali, Murah sedang ada promo. Barang OK, sudah dipakai lancar jaya, pengiriman cepat, semoga awet. Terima kasih seler terima kasih kurir.",positif
"Produk oke sesuai deskripsi dan normal berfungsi, pengiriman rapih dan buble wrap, dicoba langsung oke, respond sangat cepat, maaf baru beri nilai, belum sempat coba.. Recommend.. Dan langganan ahhh, sukses seller n shoope.",positif
"Respon bagus, pengiriman gak ada 24 jam dari pemesanan, barang juga original, gak mengecewakan sama sekali.. kalau butuh lagi pasti order di sini 👍🏻",positif
"Bisa mendeteksi gerakan dan suara, ada fitur komunikasi 2 arah, video lancar. Cocok dengan harga 300 ribuan.",positif
"Kameranya bening. Sepadan dengan Harga: iya. Pengiriman sesama Surabaya & instan langsung datang kurleb 1 jam an. Barusan dipasang, kualitas gambar jelas, bening, bagus.",positif
"Fitur Terbaik: terbaik. Sepadan dengan Harga: Terbaik. Admin fast respon. Perlu diperhatikan kembali sebelum membeli produk di toko ini, produk ready stock atau system PO.",positif
"Produk berfungsi dengan baik, kualitas gambar jelas, dan dilengkapi speaker yang oke. Sepadan dengan Harga: sepadan. Produk sampai tanpa ada reject.",positif
"Gambar bagus HD. Sepadan dengan Harga: sepadan banget. Mantap gan sudah ditest CCTV-nya gambar bagus sudah lengkap fitur nya motion sensor tracking dan sound detect, rekomended untuk mencari CCTV 400rb an.",positif
Fitur lengkap. Sepadan dengan Harga: sepadan. Ini pembelian yang ke 11 CCTV indoor..setelah saya pakai banyak tetangga dan masjid yang minta tolong dipesankan..pemasangan mudah..pemasangan ke aplikasi hp juga sangat mudah..terima kasih seller.,positif
"Sepadan dengan Harga: cukup sepadan. Fitur Terbaik: Motion detection. Produk dikemas dengan baik dan aman. Sudah digunakan dan berfungsi sebagaimana mestinya. Terima kasih seller, sukses selalu 🙏🏻.",positif
Fitur Terbaik: Trims Sophee Mantapp. Sukses terus Sophee. Ini sudah dicoba berhasil penjual Sophee👍. Sepadan dengan Harga: Murah.,positif
"Pengemasan lama karena PO, tapi waktu pengirimannya super cepat. Barang original, mudah pengoperasiannya. Bardi selalu favorit💕.",positif
"Fitur Terbaik: Fitur lengkap. Sepadan dengan Harga: Harga bersaing. Pengiriman cepat. Pengemasan aman, dikasih fragile. Barang tidak ada yang cacat. Pembelian yang ke-2x.",positif
"Fitur Terbaik: Canggih CCTV-nya. Sepadan dengan Harga: Worth it to buy. Kualitas gambarnya bagus, terang, mau ditempat gelap masih keliatan jelas muka orang. Fiturnya canggih, ngga nyesel beli BARDI 😍🫰🏻.",positif
"Fitur Terbaik: Motion tracking. Sepadan dengan Harga: 100% worth it. Keren banget barangnya, harus terus terhubung sm wifi ya biar bisa pantau terus, harga bersahabat, thanks seller.",positif
"Fitur Terbaik: Bisa digunakan dengan baik. Sepadan dengan Harga: Kamera jelas. Produk bagus, toko asli Bardi, fungsi sesuai dengan keterangan.",positif
