comment,sentiment
Barang sesuai orderan. Kualitas produk bagus. Baru pertama order disini. Barang belum dicoba. Harga murah. Semoga awet. Packingan safety. Pengiriman cepat. Terima kasih.,positif
Alhamdulillah paket sudah mendarat dengan selamat sesuai pesanan. Thanks buat Seller dan Shopee juga om Kurir tentunya. Sukses untuk kita semua Aamiin.,positif
"bagus juga, sekalian beli mouse pad nya karena ijo ijo makanya aku beli ini terimakasih aku beli yang ukuran medium.",positif
"Ukuran pas untuk dibawa kemana mana, bahan tidak licin.",positif
"Alhamdulillah produk sampai dengan selamat, packing aman dan pasti berkualitas. Klo ada rejeki pasti bkal order lagi.",positif
Pengiriman cepat 1 hari langsung Sampai respon penjual juga baik dan ramah. Packing aman dan rapi. Bahannya juga tebal. Semoga terus amanah dan semakin berkah.,positif
"Respon penjual cepat dan ramah, pengemasan rapi, dan produk sesuai dengan pesanan. Terima kasih ya...",positif
"Pengiriman cepet, pengemasan juga aman. Terbaiklah robot, seharusnya beli yang ukuran S, lumayan agak besar sih kalo buat dibawa kemana mana hehe.",positif
"Produknya bagus dan berfungsi dengan baik, harga worth it, pengiriman super cepat, sellernya fast respon.",positif
"Alhamdulillah adminnya ramah + pengiriman cepat + kurir ramah + barang sampai dalam kondisi baik. Lumayan worth it kok buat harga diskon dari Rp38.000 jadi Rp12.000 an. Terima kasih yaa ROBOT sudah amanah. Semoga selalu diberikan kesehatan + selalu amanah + berkah, aamiin.",positif
Suka bgt. Gak licin lg.,positif
Kualitasnya mantap dengan harga yg sangat terjangkau. Tampilannya juga keren. Makasih Seller.,positif
Anti slip. Minimalis. Kualitas OK. Thanks,positif
Alhamdulillah pengiriman cepat dan sesuai dengan gambar dan dipromosikan bagus semoga bertahan lama dan bagus dioperasikan lancar terus. Aamiin allahumma amin,positif
"Bagus... bahannya juga tebal, Mantap👍",positif
"Sangat puas dengan barang yang dikirim, lengkap sesuai pesanan dan sangat keren menurut saya. Jangan ragu membeli produk di toko ini sangat direkomendasikan 👍🏻👍🏻",positif
"Barang yang dikirim sangat buruk, rusak, dan tidak sesuai dengan pesanan. Kualitas produk sangat jelek, dan pengemasan tidak aman. Saya sangat kecewa dengan pelayanan ini!",negatif
Paket saya hilang dan penjual tidak memberikan respon sama sekali. Ini adalah pengalaman paling buruk yang pernah saya alami. Saya tidak akan pernah membeli dari penjual ini lagi!,negatif
